x_value,total_1,total_2
0,1000,1000
1,1008,1005
2,1004,1000
3,999,995
4,1003,999
5,1004,1002
6,1008,1001
7,1014,996
8,1019,991
9,1018,987
10,1025,988
11,1023,986
12,1022,982
13,1023,982
14,1023,986
15,1018,986
16,1023,992
17,1025,992
18,1022,995
19,1025,991
20,1020,997
21,1015,994
22,1014,999
23,1008,994
24,1015,992
25,1012,988
26,1006,983
27,1008,982
28,1004,978
29,1009,979
30,1004,983
31,1003,979
32,1011,981
33,1005,976
34,1013,982
35,1020,987
36,1023,993
37,1030,990
38,1036,995
39,1042,993
40,1047,993
41,1045,996
42,1053,991
43,1048,986
44,1053,991
45,1049,988
46,1049,987
47,1057,986
48,1058,983
49,1052,989
50,1054,993
51,1056,997
52,1050,992
53,1051,988
54,1059,994
55,1055,989
56,1060,988
57,1066,987
58,1070,989
59,1070,989
60,1066,994
61,1073,997
62,1068,1000
63,1070,1003
64,1065,1007
65,1062,1012
66,1056,1008
67,1063,1013
68,1060,1012
69,1056,1018
70,1054,1018
71,1050,1020
72,1058,1018
73,1055,1022
74,1062,1024
75,1062,1030
76,1059,1035
77,1060,1038
78,1066,1033
79,1074,1031
80,1073,1028
81,1072,1030
82,1073,1025
83,1067,1023
84,1073,1018
85,1072,1022
86,1077,1019
87,1083,1015
88,1078,1012
89,1076,1007
90,1072,1013
91,1078,1019
92,1077,1025
93,1077,1027
94,1073,1025
95,1071,1023
96,1073,1021
97,1081,1016
98,1087,1022
99,1089,1026
100,1083,1025
101,1085,1020
102,1080,1021
103,1077,1021
104,1076,1019
105,1074,1017
106,1074,1013
107,1081,1018
108,1081,1016
109,1078,1016
110,1079,1012
111,1083,1009
112,1082,1009
113,1084,1011
114,1084,1017
115,1081,1012
116,1077,1013
117,1076,1015
118,1072,1019
119,1078,1020
120,1084,1025
121,1088,1022
122,1082,1025
123,1086,1025
124,1090,1022
125,1096,1021
126,1103,1021
127,1097,1026
128,1104,1032
129,1103,1033
130,1111,1038
131,1108,1038
132,1110,1041
133,1105,1037
134,1103,1035
135,1103,1036
136,1108,1042
137,1116,1037
138,1122,1032
139,1128,1037
140,1126,1032
141,1125,1030
142,1126,1033
143,1128,1030
144,1122,1033
145,1129,1031
146,1135,1026
147,1131,1025
148,1129,1026
149,1135,1030
150,1138,1027
151,1140,1029
152,1148,1030
153,1150,1035
154,1158,1039
155,1157,1036
156,1153,1034
157,1147,1033
158,1150,1034
159,1147,1029
160,1147,1025
161,1154,1020
162,1159,1022
163,1162,1018
164,1161,1015
165,1163,1010
166,1164,1015
167,1158,1014
168,1159,1016
169,1153,1022
170,1161,1021
171,1160,1017
172,1159,1022
173,1164,1026
174,1165,1028
175,1162,1028
176,1167,1028
177,1161,1027
178,1158,1028
179,1156,1032
180,1164,1031
181,1171,1030
182,1175,1028
183,1175,1030
184,1178,1026
185,1186,1030
186,1185,1026
187,1185,1024
188,1190,1019
189,1195,1022
190,1193,1018
191,1198,1014
192,1205,1010
193,1207,1008
194,1201,1011
195,1200,1017
196,1199,1017
197,1201,1012
198,1201,1012
199,1207,1016
200,1211,1018
201,1213,1014
202,1215,1019
